time,mean_auc,sem_auc,sub-102,sub-104,sub-105,sub-106,sub-107
-0.1,0.4994454014057091,0.030433024789317482,0.5928356328852324,0.41643405864135463,0.5072881235827664,0.4298611111111111,0.5508080808080807
-0.0998,0.4987299686437853,0.030704783138589986,0.5933867380479068,0.4159795680328199,0.508312074829932,0.42699652777777786,0.5489749345304901
-0.0996,0.49811095742290395,0.03097024062391438,0.5937469246363691,0.4158086312995214,0.508829365079365,0.42421875,0.5479511160992642
-0.0994,0.49753543022668784,0.03110890469150579,0.5945775188458283,0.4163757390499939,0.509592899659864,0.4217013888888889,0.5454296046888639
-0.0992,0.49668161383882037,0.03135034612424596,0.5945676776822092,0.4158126533403049,0.5100180697278911,0.4190104166666667,0.5439992517770296
-0.099,0.4961090961158933,0.03148193291655541,0.5943787273407208,0.41535615171137835,0.5105389030612245,0.41736111111111107,0.5429105873550318
-0.0988,0.49572782839058566,0.03148732266219061,0.5939142244178953,0.4152736998753167,0.5113148384353742,0.41631944444444435,0.5418169347798978
-0.0986,0.49486685678247166,0.031539865250913277,0.5930915031393311,0.41426416763865986,0.5136373299319728,0.4145833333333334,0.5387579498690609
-0.0984,0.49446573761721185,0.031542075694909466,0.5929911232704155,0.4146321843703495,0.5145691609977324,0.41328125,0.5368549694475621
-0.0982,0.4945413088268137,0.031529677707012045,0.5935304190367469,0.4162128463982625,0.5158375850340136,0.4119791666666667,0.5351465269983787
-0.098,0.49344588542291684,0.03159271400215364,0.5916842167417874,0.4152938100792342,0.5163353883219954,0.4097222222222222,0.5341937897493453
-0.0978,0.49294527387151055,0.031717716564641736,0.5905879111146103,0.4146502835538752,0.5188952664399092,0.40789930555555554,0.5326936026936027
-0.0976,0.492388417183936,0.0315657521294668,0.590312358533273,0.4159594578289023,0.5184612386621315,0.4066840277777778,0.5305250031175957
-0.0974,0.4911527587476373,0.03169854478061304,0.5893951620839648,0.41502835538752364,0.5187907454648526,0.40434027777777776,0.5282092530240678
-0.0972,0.4901505925643093,0.03188404598347112,0.5891176412699037,0.41521739130434787,0.5185232426303854,0.4013888888888889,0.5265057987280211
-0.097,0.4899462323985846,0.03163173607455301,0.5882850788277205,0.4159695129308612,0.519719033446712,0.4015625,0.5241950367876294
-0.0968,0.4895431659377393,0.03150437481401398,0.5870096640226741,0.4171761251659092,0.5204790249433107,0.40008680555555554,0.5229642100012469
-0.0966,0.4891486323927669,0.03149642435399364,0.5869092841537584,0.4171620480231669,0.521593324829932,0.3995659722222221,0.5205125327347548
-0.0964,0.4883326040747583,0.031415817735678184,0.5864546223945519,0.4167879982303021,0.521844883786848,0.39913194444444444,0.5174435715176455
-0.0962,0.4880110887568268,0.031328958733287726,0.5862735449839589,0.4178196516912681,0.521938775510204,0.3983506944444444,0.5156727771542586
-0.096,0.48766106155201355,0.030983416818189002,0.5847028952703367,0.41968990065559264,0.5228652919501133,0.39782986111111107,0.5132173587729143
-0.0958,0.48645585207719505,0.030809630506401887,0.5833093865018599,0.42006193942806586,0.5227767148526077,0.3965277777777777,0.5096034418256641
-0.0956,0.4862530232492096,0.03063545896019633,0.5824669828960577,0.4220086071672767,0.5243197278911564,0.3956597222222222,0.5068100760693353
-0.0954,0.4856331268797695,0.03047484634357431,0.5810813470584761,0.42220367614527615,0.523984906462585,0.3950520833333333,0.5058436213991769
-0.0952,0.48467360517846403,0.03044133894211703,0.5793315881669849,0.42286329083376906,0.5242453231292517,0.39279513888888884,0.5041326848734256
-0.095,0.48464376444125196,0.030247261564143417,0.5789576239494558,0.4243594900052286,0.5244029903628117,0.3927951388888889,0.5027035789998753
-0.0948,0.4833973977789629,0.029999057685433147,0.578495089259354,0.42445400796364074,0.5209839143990929,0.3924479166666667,0.5006060606060607
-0.0946,0.48324215326857073,0.02970168338868609,0.5783041706851417,0.42500301653058764,0.5198713860544217,0.3936631944444444,0.499368998628258
-0.0944,0.4829504557859763,0.029594087100140876,0.577733383195229,0.4262961026424808,0.5202930130385488,0.39296875,0.49746103005362263
-0.0942,0.48258985141058475,0.029658017473055024,0.5783750270632,0.425548003056751,0.5200432256235827,0.39322916666666663,0.4957538346427235
-0.094,0.481448735023329,0.029483341163585194,0.5767138386442813,0.42573502795318346,0.5191787131519274,0.39210069444444445,0.4935154009228083
-0.0938,0.4815556749258555,0.029586194094381967,0.5777176373334382,0.42628403652013036,0.5193505527210884,0.3919270833333333,0.492499064721287
-0.0936,0.4811363172668817,0.02949229924569576,0.5770582793709529,0.4267465712102321,0.5178801729024943,0.39114583333333336,0.4928507295173962
-0.0934,0.48034347989936627,0.029344892794856043,0.5762296533942173,0.4268250010055102,0.5166028911564625,0.3907118055555555,0.49134804838508545
-0.0932,0.47939794468061053,0.02934050554530027,0.575387249788415,0.42599042754293526,0.5164239654195011,0.3900173611111111,0.4891707195410899
-0.093,0.479127897322808,0.029148844076988843,0.5747416694549965,0.42627197039777986,0.5166046626984129,0.39062499999999994,0.4873961840628508
-0.0928,0.4788015335236473,0.028860411085854916,0.5743499911429526,0.42654949121184094,0.5153202947845804,0.39175347222222223,0.4860344182566405
-0.0926,0.4784955064594354,0.028692313195197355,0.5740724703288916,0.4274846156940032,0.5153043509070295,0.39210069444444445,0.4835154009228083
-0.0924,0.4787390886255921,0.028521497567806246,0.5742515795067609,0.4282105940554238,0.5154868197278911,0.39331597222222225,0.48243047761566277
-0.0922,0.47841715989121364,0.028378600947021552,0.5733265101265574,0.4279230181394039,0.5162592120181406,0.3939236111111111,0.48065344806085547
-0.092,0.4783033236438977,0.028215974795539285,0.5730352116834294,0.42754695732614734,0.5159846230158729,0.39505208333333336,0.4798977428607058
-0.0918,0.47804986400872335,0.028349740116854906,0.5729328635817899,0.4279049189558782,0.516749929138322,0.39392361111111107,0.4787379972565158
-0.0916,0.4780802230824589,0.028244660717411912,0.5741098667506446,0.4288219442545147,0.5158712443310658,0.39522569444444444,0.4763723656316249
-0.0914,0.4782260326442822,0.02825211917968873,0.5751176019052493,0.42947351486144064,0.5150102749433106,0.3955729166666666,0.4759558548447437
-0.0912,0.4784372579599858,0.028489235743537906,0.5773279272541185,0.42888830792744237,0.5142414257369614,0.39618055555555554,0.47554807332585114
-0.091,0.47840464205635236,0.02834244889170766,0.5773298954868424,0.4297067932268833,0.5135576105442177,0.3967013888888889,0.4747275221349295
-0.0908,0.47860443028546407,0.027910853867668062,0.5753911862538625,0.4303523307726341,0.5145797902494331,0.3981770833333333,0.4745217608180571
-0.0906,0.47887827502708624,0.027622425540908917,0.5748499222548074,0.4316353617825685,0.5149252409297052,0.39947916666666666,0.47350168350168353
-0.0904,0.4788951869413192,0.0275347938656285,0.5748499222548074,0.4322628001447935,0.5144132653061224,0.39965277777777775,0.47329716922309506
-0.0902,0.4794171971763362,0.027136255389120654,0.5736532367587144,0.43392993604955155,0.5145709325396826,0.40069444444444446,0.4742374360892879
-0.09,0.47896179858859284,0.027033530795003376,0.5734662546499498,0.433831396050356,0.5132139314058957,0.40086805555555555,0.4734293552812071
-0.0898,0.4790035302571364,0.027005677341038658,0.5739130434782609,0.43307525238305916,0.5124486252834467,0.4017361111111112,0.4738446190298042
-0.0896,0.47967405494037496,0.027247163526426685,0.5755722636644557,0.4335377870731609,0.5134654903628119,0.4018229166666666,0.47397181693477985
-0.0894,0.47924736422404274,0.02748582229125215,0.5762178439978742,0.43195913606563974,0.5128702522675738,0.40121527777777777,0.473974311011348
-0.0892,0.4797310523184013,0.02744957811691399,0.5764067943393627,0.43444676829023043,0.513375141723356,0.4005208333333333,0.4739057239057239
-0.089,0.48006242387187203,0.027553155231382694,0.5771488180762493,0.4334131038088726,0.514046556122449,0.40138888888888885,0.47431475246290056
-0.0888,0.4806632796529671,0.027441205851656224,0.5769657724329325,0.4341390821702932,0.5154956774376418,0.40234375,0.47437211622396813
-0.0886,0.4803921112699661,0.027398898530837337,0.5758734032712027,0.4337610103366448,0.5160076530612245,0.4018229166666667,0.4744955730140915
-0.0884,0.4801344360746519,0.02721717018303649,0.573863837660165,0.43376704339782013,0.517375283446712,0.40164930555555556,0.4740167103130067
-0.0882,0.4801989220115425,0.027057196983571705,0.5724014407463539,0.43338897156417167,0.5183212868480725,0.4019097222222222,0.47497318867689237
-0.088,0.4810251717471363,0.026968052412017024,0.5726986438876532,0.4352411213449705,0.5192531179138322,0.40234375,0.4755892255892256
-0.0878,0.48097159945419554,0.026931962681881444,0.5724388371681068,0.4350601295097132,0.5190706490929705,0.40234375,0.4759446315001871
-0.0876,0.4812034088135997,0.026815800191826694,0.571336626842758,0.43440855890278723,0.5205250850340135,0.403125,0.47662177328843985
-0.0874,0.48146569073149126,0.026529772426908307,0.569870293463499,0.433950046253469,0.5208545918367345,0.40425347222222224,0.47840004988153134
-0.0872,0.4824954384225603,0.026392770432549697,0.5705217784950893,0.4349696335920846,0.5217793367346938,0.4059895833333333,0.47921685995760066
-0.087,0.4823679085422648,0.026523838540106686,0.5703426693172201,0.43292844789446167,0.5227147108843536,0.4064236111111111,0.47943010350417764
-0.0868,0.4829737808251334,0.026182292679697444,0.5695317574349991,0.43431202992398343,0.5226208191609977,0.40746527777777775,0.4809390198279087
-0.0866,0.4836937632207895,0.026102567976505307,0.5695238845041037,0.43552869726099014,0.5232071995464852,0.40763888888888894,0.4825701459034792
-0.0864,0.48376037328146976,0.0257299185562413,0.5676914598382112,0.43561919317861886,0.5236359126984127,0.40894097222222225,0.48291432846988397
-0.0862,0.48451004428892996,0.025868348122468677,0.5680713287539118,0.43561718215822715,0.5249096513605442,0.40885416666666663,0.4850978925052999
-0.086,0.4845306862776404,0.025748944960831972,0.5672545121735195,0.43580420705465955,0.5248919359410431,0.40885416666666663,0.48584860955231324
-0.0858,0.4848305686122007,0.02561801935245257,0.566630582400063,0.4359851988899167,0.5252285289115648,0.409375,0.48693353285945873
-0.0856,0.48544335830651153,0.02521145195716014,0.5654437380675892,0.4378433817318908,0.5256501558956916,0.41059027777777785,0.4876892380596084
-0.0854,0.4854822953103118,0.02471810790300005,0.5630641447044699,0.43810682540320955,0.526155045351474,0.41232638888888895,0.48775907220351666
-0.0852,0.48572593335655256,0.02433512952919943,0.5607691853484756,0.43736878091943854,0.5267609126984127,0.4140625,0.4896682878164359
-0.085,0.48689773699055455,0.024053249132378135,0.5597673548920425,0.4385794151952701,0.5287999574829932,0.4158854166666667,0.4914565407158
-0.0848,0.48770856704702614,0.023770220066372093,0.5587714291337809,0.4399770743675341,0.5304953231292517,0.4173611111111112,0.49193789749345307
-0.0846,0.48849081937149225,0.023576200878587146,0.5577755033755192,0.44090817680891287,0.5323607568027211,0.4185763888888888,0.49283327098141905
-0.0844,0.4890092829941487,0.02328876898338712,0.5557659377644812,0.4410107388488919,0.5340667517006803,0.42013888888888884,0.4940640977678014
-0.0842,0.48868495339225,0.022878421665937624,0.5528372074714115,0.4410207939508507,0.5333829365079366,0.42048611111111117,0.4956977179199401
-0.084,0.4882417204590845,0.022667680869142757,0.5498002243785305,0.44037525640509995,0.5339746315192744,0.42039930555555555,0.4966591844369622
-0.0838,0.48858176662133274,0.022202993333966452,0.5476135178223472,0.4412078188472831,0.5342261904761906,0.4220486111111111,0.49781269484973195
-0.0836,0.4894226111366075,0.021818495235423632,0.545499635876946,0.4432449825041226,0.5355991354875284,0.4231770833333333,0.49959221848110735
-0.0834,0.48921669267759826,0.021393084863108137,0.5428346487688704,0.4432610706672565,0.5361111111111111,0.4247395833333334,0.49913704950741994
-0.0832,0.4898340702254217,0.020765756849158813,0.5393489086149547,0.44475525881832445,0.5371386054421768,0.4270833333333333,0.500844244918319
-0.083,0.4903775970750413,0.020203429832683292,0.5353986655382131,0.4462434139082171,0.5389260912698413,0.4292534722222222,0.5020663424367128
-0.0828,0.49129009587849604,0.019581144693977696,0.5330859920877045,0.4481036077705828,0.5401094812925171,0.43246527777777777,0.5026861204638982
-0.0826,0.491846373900238,0.019173105450095373,0.5306945893282422,0.44894421429433284,0.5412220096371883,0.43472222222222223,0.5036488340192044
-0.0824,0.4920298160714074,0.019030700718961673,0.5286653413899659,0.44848167960423124,0.5423504818594104,0.43611111111111106,0.5045404663923182
-0.0822,0.49244810343340495,0.01885084089078231,0.52689786840396,0.44950126694284676,0.5433797477324264,0.43689236111111107,0.5055692729766804
-0.082,0.4926416262936897,0.01857248994402527,0.5228511819237507,0.4498853718376704,0.5454400510204082,0.43871527777777775,0.5063162489088415
-0.0818,0.49283968894723473,0.0181047693211368,0.5194599169405791,0.45155854080360375,0.5463754251700681,0.4405381944444445,0.5062663673774784
-0.0816,0.49284739758895124,0.017643970351687126,0.5170763871120122,0.4525841612033947,0.545264668367347,0.44175347222222217,0.5075582990397806
-0.0814,0.493383420786245,0.017197024746877235,0.5148680299958667,0.45509592567268636,0.5456880668934241,0.4432291666666666,0.5080359147025814
-0.0812,0.4937843503971818,0.01684789440100775,0.512106599484323,0.45713912239070104,0.5465419501133788,0.4446180555555556,0.5085160244419504
-0.081,0.494474819468515,0.016599616811442133,0.509626626252288,0.45891083135583,0.5475588151927437,0.4461805555555555,0.5100972689861579
-0.0808,0.49478425802006853,0.01626141578161097,0.5086011770031689,0.460133531754012,0.5474684665532881,0.44774305555555555,0.5099750592343184
-0.0806,0.49513018206935094,0.016157184196670643,0.5082291810183637,0.4606141656276395,0.5479804421768708,0.4487847222222222,0.5100423993016586
-0.0804,0.4958096283736996,0.0160031260292145,0.507487157281477,0.46190524071914085,0.5485845379818595,0.45,0.5110712058860207
-0.0802,0.4965076221395382,0.015984164400546837,0.5082272127856398,0.46358645376664115,0.5493569302721089,0.4500868055555555,0.5112807083177453
-0.08,0.49697666683955666,0.015976753951148885,0.5082331174838114,0.4645256002895869,0.5495287698412699,0.4500868055555555,0.5125090410275595
-0.0798,0.4977287214941545,0.015891108258767193,0.507957564902474,0.4669428468004666,0.550655470521542,0.45043402777777775,0.5126536974685122
-0.0796,0.4983653350754226,0.015736877579897772,0.5077823921900526,0.4689659333145638,0.5511709892290249,0.4510416666666666,0.512865693976805
-0.0794,0.49866842132492256,0.015550092527811732,0.507317889267227,0.46980452881792223,0.5512507086167802,0.4520833333333334,0.5128856465893502
-0.0792,0.49923536506131505,0.015423007326439125,0.5090755210896136,0.47026907452841576,0.5511727607709751,0.4530381944444445,0.5126212744731263
-0.079,0.499771617723367,0.015199893068836802,0.5076879170193084,0.47138116880505176,0.5521205357142857,0.45503472222222224,0.512633744855967
-0.0788,0.500041248738335,0.01505246534550886,0.5071505894857008,0.4718457145155452,0.5525598781179137,0.45633680555555556,0.5123132560169597
-0.0786,0.5010314674764691,0.01521780834028065,0.5093648513000177,0.47213329043156493,0.5541064342403629,0.45703125,0.5125215114104003
-0.0784,0.5017437624981911,0.014934060046468155,0.5103843958509655,0.47352290552226195,0.5540267148526077,0.45859375,0.5121910462651204
-0.0782,0.5020974646230785,0.015058859388966582,0.5117601905249277,0.47416643204762093,0.5549815759637189,0.4583333333333333,0.5112457912457912
-0.078,0.5027186227577711,0.014846638988333757,0.5135001082527999,0.4759421630535334,0.5544731434240362,0.45876736111111105,0.510910337947375
-0.0778,0.5028952177577491,0.014831040641023007,0.5136811856633928,0.4763162128463983,0.5545670351473924,0.4588541666666667,0.5110574884648958
-0.0776,0.503214080573964,0.014662595191061818,0.5132147145078434,0.47819249487189797,0.55421981292517,0.45876736111111116,0.5116760194537973
-0.0774,0.504108969822669,0.014668315924297619,0.5166276300509771,0.47855246752202063,0.5538708191609978,0.4591145833333333,0.5123793490460157
-0.0772,0.504701404358699,0.01464763882656516,0.5189265258724192,0.48003660057112973,0.5538849914965986,0.45902777777777776,0.5116311260755705
-0.077,0.5046474512377789,0.014313425796420923,0.5200326726632157,0.48106423199131243,0.5516652494331067,0.4591145833333334,0.5113605187679261
-0.0768,0.5043318130740158,0.014297237991301401,0.5211289782903931,0.48161927361943446,0.5505598072562358,0.4580729166666666,0.5102780895373489
-0.0766,0.5046121106766746,0.014730375028241196,0.5245143385753932,0.48071632546354026,0.5507281037414966,0.4566840277777778,0.5104177578251652
-0.0764,0.5042636769172916,0.014539919693621192,0.5238648217765268,0.48128544423440456,0.5495287698412697,0.4564236111111112,0.5102157376231451
-0.0762,0.5049064376356718,0.014832491310431727,0.527358434861338,0.4810823311748381,0.5503791099773243,0.4565104166666667,0.5092018954981918
-0.076,0.5054563004534005,0.014822348653553044,0.5293876827996142,0.48322406789204847,0.5496935232426303,0.45590277777777766,0.5090734505549321
-0.0758,0.5057090363696369,0.014894711477087237,0.5315861987521405,0.4832361340143989,0.548859126984127,0.45572916666666663,0.5091345554308517
-0.0756,0.5058962105877588,0.01478787001661656,0.5335032574251579,0.484259743393798,0.5471531320861678,0.45564236111111117,0.508922558922559
