subject,auc_at_peak,above_chance
sub-101,0.5430555555555555,True
sub-102,0.6020833333333334,True
sub-104,0.7211805555555555,True
sub-105,0.6027777777777776,True
sub-106,0.5013888888888889,True
sub-107,0.6791111111111111,True
