time,mean_auc,sem_auc,sub-101,sub-102,sub-104,sub-105,sub-106,sub-107
-0.1,0.5026016329362131,0.021427313432010226,0.4687967346938775,0.6131869387755102,0.4539738775510204,0.4860865306122449,0.4817551020408164,0.5118106139438086
-0.0998,0.5030359605569595,0.02138929673464899,0.4718889795918367,0.6140848979591836,0.45413061224489804,0.48721469387755106,0.4811151020408163,0.5097814776274714
-0.0996,0.5029599042947043,0.021541854875984895,0.4733567346938775,0.6154710204081633,0.4550285714285714,0.487774693877551,0.4781159183673469,0.5080124869927158
-0.0994,0.5033070132444237,0.021857265087195932,0.47400489795918366,0.6180816326530612,0.4558367346938776,0.4887461224489796,0.47698122448979596,0.5061914672216441
-0.0992,0.5027613690387706,0.021850093154162444,0.4765975510204081,0.6178383673469388,0.4555918367346939,0.4880114285714285,0.47421061224489797,0.504318418314256
-0.099,0.5028115664663367,0.021702942459565316,0.4801763265306122,0.6176032653061224,0.456741224489796,0.4883248979591836,0.47225469387755104,0.5017689906347554
-0.0988,0.5026512643434065,0.021937106789700334,0.4827787755102041,0.618749387755102,0.45609142857142865,0.48863673469387753,0.4698073469387755,0.499843912591051
-0.0986,0.5025402042939965,0.021796921837429043,0.48570775510204084,0.6181061224489796,0.4568212244897959,0.49007673469387747,0.46817142857142857,0.4963579604578564
-0.0984,0.5026702626940475,0.021835112715737577,0.48692081632653067,0.6183477551020408,0.4569861224489796,0.49194122448979594,0.4670285714285714,0.4947970863683663
-0.0982,0.5026867953591426,0.021745379168360147,0.49025959183673473,0.617709387755102,0.45731591836734686,0.4923395918367347,0.46557224489795923,0.4929240374609781
-0.098,0.5022299101701034,0.021883958654893294,0.4922906122448979,0.6178791836734694,0.4578073469387755,0.49200489795918373,0.462814693877551,0.49058272632674294
-0.0978,0.5020388645614333,0.02211693831201032,0.4958726530612245,0.6182873469387754,0.45732081632653054,0.4915869387755102,0.4597273469387755,0.4894380853277836
-0.0976,0.5020431367552224,0.02216284958405246,0.49856326530612244,0.6180506122448979,0.45764408163265297,0.49207510204081634,0.4579444897959184,0.48798126951092613
-0.0974,0.5019675935639605,0.02229776938547559,0.500275918367347,0.6182922448979593,0.458698775510204,0.4921436734693877,0.4553502040816326,0.48704474505723205
-0.0972,0.501790564533826,0.02222743973855655,0.5023216326530612,0.6172326530612244,0.45894367346938775,0.49311346938775513,0.45422040816326537,0.48491155046826223
-0.097,0.5018042322693905,0.02227732339263643,0.5040179591836734,0.6172277551020409,0.4599134693877551,0.4932604081632652,0.45315918367346936,0.48324661810613934
-0.0968,0.5016595482313633,0.022357080737486584,0.5058808163265306,0.6173159183673469,0.4604848979591837,0.4924359183673469,0.45267428571428575,0.4811654526534859
-0.0966,0.5014743763228496,0.022425771603159138,0.5071004081632654,0.6173142857142858,0.4605583673469388,0.492029387755102,0.4524473469387755,0.4793964620187305
-0.0964,0.5012498409394975,0.022458575407692714,0.5083248979591837,0.6168261224489796,0.46087836734693877,0.492269387755102,0.4513126530612245,0.4778876170655567
-0.0962,0.5008330888317867,0.022625794681243875,0.5087363265306123,0.616995918367347,0.4609436734693877,0.49209306122448987,0.449694693877551,0.476534859521332
-0.096,0.5009795408694174,0.022666651927463897,0.5101224489795919,0.6169126530612246,0.46142040816326535,0.4936359183673469,0.4496963265306123,0.47408949011446405
-0.0958,0.501023916130448,0.02296512597738999,0.5124767346938776,0.6174742857142856,0.4609273469387755,0.4954138775510204,0.4481551020408164,0.4716961498439126
-0.0956,0.500494069811067,0.023101345268338975,0.5127951020408162,0.6175559183673469,0.4603591836734694,0.49476897959183674,0.44807836734693873,0.4694068678459938
-0.0954,0.5006112564151571,0.023062004513927228,0.5147428571428572,0.6166579591836735,0.46060081632653055,0.4954089795918367,0.44711020408163266,0.469146722164412
