time,mean_auc,se_auc,fold_1,fold_2,fold_3,fold_4,fold_5
-0.1,0.4997131642512077,0.018118966132455557,0.4913194444444445,0.5235507246376812,0.5597826086956522,0.4855072463768116,0.4384057971014493
-0.0998,0.5007850241545894,0.017329886855157635,0.4930555555555556,0.5271739130434783,0.5561594202898551,0.48550724637681153,0.44202898550724634
-0.0996,0.5029287439613527,0.015828837103926446,0.4965277777777778,0.5271739130434783,0.5543478260869565,0.4855072463768116,0.45108695652173914
-0.0994,0.5047252415458938,0.015696818831047756,0.49826388888888895,0.5289855072463768,0.5543478260869565,0.49094202898550726,0.45108695652173914
-0.0992,0.5068840579710144,0.015125672525020931,0.5,0.5271739130434783,0.556159420289855,0.4963768115942029,0.45471014492753625
-0.099,0.5097524154589371,0.015060318677717774,0.5034722222222222,0.5271739130434783,0.5615942028985507,0.4963768115942029,0.4601449275362318
-0.0988,0.5090428743961353,0.015390384544890032,0.5017361111111112,0.5326086956521738,0.5579710144927537,0.4963768115942029,0.4565217391304348
-0.0986,0.5100845410628019,0.015750477815019856,0.5069444444444444,0.5362318840579711,0.5543478260869564,0.5018115942028986,0.45108695652173914
-0.0984,0.5126207729468599,0.014424759986557617,0.5069444444444444,0.5398550724637681,0.5507246376811594,0.5072463768115942,0.45833333333333337
-0.0982,0.5122735507246376,0.014455397962205884,0.5052083333333334,0.5398550724637681,0.5507246376811593,0.5072463768115942,0.45833333333333337
-0.098,0.5151871980676328,0.013892800331389827,0.5034722222222223,0.5452898550724637,0.5489130434782608,0.5144927536231884,0.463768115942029
-0.0978,0.517361111111111,0.013693889457063483,0.5034722222222223,0.5452898550724637,0.5489130434782609,0.5235507246376812,0.4655797101449275
-0.0976,0.518840579710145,0.014443757759193368,0.49999999999999994,0.5489130434782608,0.5507246376811594,0.5289855072463768,0.4655797101449276
-0.0974,0.5206672705314009,0.01427447973967232,0.4982638888888889,0.5507246376811594,0.5489130434782609,0.536231884057971,0.4692028985507247
-0.0972,0.5217542270531401,0.013473770365579221,0.4982638888888889,0.552536231884058,0.5452898550724637,0.5380434782608695,0.4746376811594203
