time_ms,mean_auc,sem_auc,sub-104
-100.0,0.43923611111111116,0.0,0.43923611111111116
-99.8,0.43923611111111105,0.0,0.43923611111111105
-99.6,0.44027777777777777,0.0,0.44027777777777777
-99.4,0.4385416666666666,0.0,0.4385416666666666
-99.2,0.4378472222222222,0.0,0.4378472222222222
-99.0,0.43680555555555556,0.0,0.43680555555555556
-98.8,0.4371527777777778,0.0,0.4371527777777778
-98.6,0.43993055555555555,0.0,0.43993055555555555
-98.4,0.43993055555555555,0.0,0.43993055555555555
-98.19999999999999,0.440625,0.0,0.440625
-98.0,0.440625,0.0,0.440625
-97.8,0.440625,0.0,0.440625
-97.60000000000001,0.43993055555555555,0.0,0.43993055555555555
-97.4,0.4395833333333334,0.0,0.4395833333333334
-97.19999999999999,0.44305555555555554,0.0,0.44305555555555554
-97.0,0.44340277777777776,0.0,0.44340277777777776
-96.8,0.4427083333333333,0.0,0.4427083333333333
-96.60000000000001,0.4451388888888889,0.0,0.4451388888888889
-96.4,0.4444444444444445,0.0,0.4444444444444445
-96.19999999999999,0.44722222222222224,0.0,0.44722222222222224
-96.0,0.4503472222222221,0.0,0.4503472222222221
-95.8,0.4503472222222221,0.0,0.4503472222222221
-95.60000000000001,0.45243055555555556,0.0,0.45243055555555556
-95.4,0.45451388888888894,0.0,0.45451388888888894
-95.2,0.4541666666666667,0.0,0.4541666666666667
-95.0,0.45763888888888893,0.0,0.45763888888888893
-94.8,0.46284722222222224,0.0,0.46284722222222224
-94.60000000000001,0.46701388888888884,0.0,0.46701388888888884
-94.39999999999999,0.4708333333333333,0.0,0.4708333333333333
-94.2,0.4763888888888889,0.0,0.4763888888888889
-94.0,0.47847222222222224,0.0,0.47847222222222224
-93.8,0.4802083333333333,0.0,0.4802083333333333
-93.60000000000001,0.484375,0.0,0.484375
-93.39999999999999,0.4875,0.0,0.4875
-93.2,0.49027777777777776,0.0,0.49027777777777776
-93.0,0.490625,0.0,0.490625
-92.8,0.4947916666666667,0.0,0.4947916666666667
-92.60000000000001,0.4951388888888889,0.0,0.4951388888888889
-92.39999999999999,0.49722222222222223,0.0,0.49722222222222223
-92.2,0.5,0.0,0.5
-92.0,0.5027777777777777,0.0,0.5027777777777777
-91.80000000000001,0.5041666666666667,0.0,0.5041666666666667
-91.6,0.507986111111111,0.0,0.507986111111111
-91.39999999999999,0.5097222222222222,0.0,0.5097222222222222
-91.2,0.509375,0.0,0.509375
-91.0,0.5104166666666667,0.0,0.5104166666666667
-90.80000000000001,0.5131944444444445,0.0,0.5131944444444445
-90.6,0.5142361111111111,0.0,0.5142361111111111
-90.39999999999999,0.5149305555555556,0.0,0.5149305555555556
-90.2,0.5170138888888889,0.0,0.5170138888888889
-90.0,0.5180555555555555,0.0,0.5180555555555555
-89.80000000000001,0.5197916666666667,0.0,0.5197916666666667
-89.6,0.5208333333333333,0.0,0.5208333333333333
-89.39999999999999,0.5222222222222224,0.0,0.5222222222222224
-89.2,0.523263888888889,0.0,0.523263888888889
-89.0,0.5253472222222222,0.0,0.5253472222222222
-88.8,0.5263888888888888,0.0,0.5263888888888888
-88.6,0.5263888888888889,0.0,0.5263888888888889
-88.4,0.5263888888888888,0.0,0.5263888888888888
-88.2,0.5291666666666667,0.0,0.5291666666666667
-88.0,0.528125,0.0,0.528125
-87.8,0.5309027777777777,0.0,0.5309027777777777
-87.6,0.5326388888888889,0.0,0.5326388888888889
-87.4,0.5322916666666667,0.0,0.5322916666666667
-87.2,0.5326388888888889,0.0,0.5326388888888889
-87.0,0.5309027777777777,0.0,0.5309027777777777
-86.8,0.53125,0.0,0.53125
-86.6,0.53125,0.0,0.53125
-86.4,0.529513888888889,0.0,0.529513888888889
-86.2,0.5284722222222222,0.0,0.5284722222222222
-86.0,0.5284722222222222,0.0,0.5284722222222222
-85.8,0.5295138888888888,0.0,0.5295138888888888
-85.6,0.5249999999999999,0.0,0.5249999999999999
-85.4,0.523263888888889,0.0,0.523263888888889
-85.2,0.5243055555555556,0.0,0.5243055555555556
-85.0,0.5222222222222223,0.0,0.5222222222222223
-84.8,0.5208333333333334,0.0,0.5208333333333334
-84.6,0.5204861111111111,0.0,0.5204861111111111
-84.4,0.5194444444444445,0.0,0.5194444444444445
-84.2,0.5180555555555556,0.0,0.5180555555555556
-84.0,0.5170138888888889,0.0,0.5170138888888889
-83.8,0.515625,0.0,0.515625
-83.6,0.5145833333333333,0.0,0.5145833333333333
-83.4,0.5107638888888889,0.0,0.5107638888888889
-83.2,0.5114583333333333,0.0,0.5114583333333333
-83.0,0.5104166666666667,0.0,0.5104166666666667
-82.8,0.5076388888888889,0.0,0.5076388888888889
-82.60000000000001,0.5069444444444444,0.0,0.5069444444444444
-82.4,0.5052083333333334,0.0,0.5052083333333334
-82.19999999999999,0.5020833333333333,0.0,0.5020833333333333
-82.0,0.5,0.0,0.5
-81.8,0.49756944444444445,0.0,0.49756944444444445
-81.60000000000001,0.49444444444444446,0.0,0.49444444444444446
-81.4,0.4913194444444445,0.0,0.4913194444444445
-81.19999999999999,0.49027777777777776,0.0,0.49027777777777776
-81.0,0.48611111111111116,0.0,0.48611111111111116
-80.8,0.4850694444444444,0.0,0.4850694444444444
-80.60000000000001,0.4805555555555555,0.0,0.4805555555555555
-80.4,0.47847222222222224,0.0,0.47847222222222224
-80.19999999999999,0.4760416666666667,0.0,0.4760416666666667
-80.0,0.471875,0.0,0.471875
-79.8,0.4708333333333333,0.0,0.4708333333333333
