time,mean_auc,sem_auc,sub-101,sub-102,sub-104,sub-105,sub-106,sub-107
-0.1,0.5181712962962963,0.03265947221120255,0.5791666666666667,0.42430555555555555,0.4239583333333334,0.6034722222222222,0.4725694444444445,0.6055555555555555
-0.0998,0.5185972222222222,0.03236041814947145,0.5809027777777777,0.42673611111111115,0.4250000000000001,0.601736111111111,0.471875,0.6053333333333335
-0.0996,0.5188125,0.03272171552505209,0.586111111111111,0.425,0.42465277777777777,0.6006944444444444,0.47152777777777777,0.6048888888888889
-0.0994,0.5184814814814814,0.03274045657023974,0.5854166666666667,0.42430555555555555,0.42361111111111116,0.5996527777777778,0.4725694444444445,0.6053333333333333
-0.0992,0.5185902777777778,0.032361642413047044,0.586111111111111,0.4253472222222222,0.42430555555555555,0.5982638888888889,0.4739583333333333,0.6035555555555556
-0.099,0.5185856481481482,0.032067517448859884,0.5868055555555556,0.4267361111111111,0.42638888888888893,0.595486111111111,0.471875,0.6042222222222222
-0.0988,0.5186180555555555,0.03244684748699225,0.5902777777777778,0.42430555555555555,0.4267361111111111,0.5940972222222222,0.47118055555555555,0.605111111111111
-0.0986,0.5195231481481482,0.03238573294152193,0.5923611111111111,0.42465277777777777,0.4284722222222223,0.5940972222222222,0.4722222222222222,0.6053333333333333
-0.0984,0.5199351851851851,0.03257377956662251,0.5923611111111111,0.425,0.42777777777777787,0.5947916666666666,0.47256944444444454,0.607111111111111
-0.0982,0.519625,0.03271227876521339,0.5913194444444445,0.42326388888888894,0.42777777777777776,0.595486111111111,0.47256944444444454,0.6073333333333333
-0.098,0.5194351851851852,0.03321655319490536,0.5934027777777777,0.41909722222222223,0.42847222222222225,0.596875,0.47187499999999993,0.6068888888888889
-0.0978,0.5199351851851852,0.032983682767449556,0.5944444444444444,0.4208333333333334,0.43125,0.5961805555555555,0.4697916666666667,0.607111111111111
-0.0976,0.5212037037037037,0.03284067461864729,0.5961805555555555,0.42118055555555556,0.43576388888888895,0.596875,0.46944444444444444,0.6077777777777778
-0.0974,0.5207939814814816,0.03327220723471519,0.5972222222222222,0.41840277777777785,0.43506944444444445,0.596875,0.46875,0.6084444444444446
-0.0972,0.5203888888888889,0.03342110598648827,0.5982638888888889,0.41527777777777775,0.43576388888888895,0.5951388888888889,0.46944444444444444,0.6084444444444443
-0.097,0.5212361111111111,0.03304386432164481,0.5958333333333333,0.41527777777777775,0.43993055555555555,0.596875,0.4708333333333333,0.6086666666666666
-0.0968,0.5213680555555555,0.03326558569185766,0.5965277777777778,0.4138888888888889,0.43888888888888894,0.5972222222222222,0.4725694444444445,0.6091111111111112
-0.0966,0.5208055555555555,0.033307222766115356,0.5965277777777779,0.4083333333333333,0.44305555555555554,0.5940972222222223,0.4732638888888888,0.6095555555555554
-0.0964,0.5212916666666666,0.03309720732762082,0.5982638888888888,0.4107638888888888,0.44375,0.5965277777777779,0.4722222222222223,0.6062222222222222
-0.0962,0.5201689814814814,0.03291114294707173,0.5961805555555555,0.40868055555555555,0.446875,0.5961805555555555,0.4690972222222222,0.6039999999999999
-0.096,0.5198472222222222,0.03274673785965934,0.5934027777777777,0.40798611111111105,0.4489583333333334,0.5975694444444446,0.4680555555555556,0.6031111111111112
-0.0958,0.5196412037037036,0.032400774026252625,0.5947916666666667,0.40798611111111105,0.4510416666666666,0.59375,0.46805555555555556,0.6022222222222222
