time,mean_auc,sem_auc,sub-101,sub-102,sub-104,sub-105,sub-106,sub-107
-0.1,0.5004576058102742,0.02128202611792031,0.46772081632653056,0.6096489795918367,0.45006204081632645,0.4861404081632653,0.4788195918367347,0.5103537981269511
-0.0998,0.5010507827022588,0.021466927382224034,0.4698432653061224,0.6113616326530613,0.4499869387755101,0.48873959183673465,0.47638367346938776,0.5099895941727367
-0.0996,0.5016673357542809,0.02154831846734774,0.47270367346938774,0.6131526530612245,0.4511167346938776,0.48913469387755104,0.4754155102040817,0.508480749219563
-0.0994,0.5017532357875513,0.021510715934915367,0.47488653061224484,0.6137959183673469,0.452509387755102,0.48929142857142854,0.4737926530612245,0.5062434963579605
-0.0992,0.5022373641402451,0.021564776471497685,0.4776522448979592,0.6150171428571429,0.4546318367346939,0.4906726530612245,0.4704555102040816,0.5049947970863684
-0.099,0.5021895964379508,0.021592621575644785,0.48113795918367347,0.6147755102040817,0.45340897959183674,0.49130448979591834,0.4680881632653061,0.5044224765868887
-0.0988,0.5025770853773351,0.021559106806871148,0.4847069387755102,0.6151020408163265,0.45390040816326527,0.49251918367346936,0.46678857142857144,0.5024453694068679
-0.0986,0.5023025490737397,0.021334978729502067,0.48778938775510206,0.6137322448979592,0.4545567346938775,0.49251428571428574,0.465170612244898,0.5000520291363163
-0.0984,0.5021227066476955,0.021375159755706342,0.49104326530612247,0.6137387755102041,0.45521306122448985,0.4923477551020409,0.462734693877551,0.4976586888657648
-0.0982,0.5019874181514437,0.021288370191306208,0.49268081632653055,0.6133420408163264,0.4561877551020408,0.49226448979591836,0.46208,0.495369406867846
-0.098,0.5019864279697311,0.021343728159168487,0.49455346938775513,0.6135869387755102,0.45758204081632653,0.492494693877551,0.4600489795918367,0.49365244536940694
-0.0978,0.5021280587823059,0.02151110154728118,0.49748081632653063,0.614166530612245,0.4586448979591837,0.49330122448979596,0.45729142857142857,0.49188345473465134
-0.0976,0.5021830307148875,0.021770226352906107,0.5007428571428572,0.6149975510204081,0.4582400000000001,0.4937110204081632,0.4555004081632653,0.48990634755463064
-0.0974,0.5016657014023091,0.0219523224589136,0.5018057142857142,0.6149110204081631,0.45816163265306126,0.4946710204081633,0.4528277551020408,0.4876170655567117
-0.0972,0.5011848910219654,0.02203200565202965,0.5046432653061224,0.6140930612244898,0.45816163265306126,0.4940979591836734,0.4504734693877551,0.485639958376691
-0.097,0.500884144775496,0.022107038432121754,0.5052195918367347,0.614174693877551,0.45921142857142866,0.4936016326530612,0.44933061224489795,0.4837669094693028
-0.0968,0.5008985257703498,0.022138357551591017,0.5070057142857143,0.6137714285714285,0.4592963265306123,0.49400163265306124,0.44827755102040817,0.4830385015608741
-0.0966,0.5013646182052426,0.022389815468682007,0.5087200000000001,0.6153110204081633,0.46141061224489804,0.4946514285714286,0.4469812244897959,0.48111342351716957
-0.0964,0.5012870264109807,0.02260753916087824,0.5099444897959182,0.6160489795918368,0.4612359183673469,0.49416163265306123,0.4459461224489796,0.48038501560874086
-0.0962,0.5012625066009754,0.02274372277753173,0.5121485714285714,0.6162089795918366,0.4610742857142857,0.49414367346938776,0.4455395918367347,0.4784599375650364
-0.096,0.5008089586386063,0.0227418507839535,0.5134481632653062,0.6151428571428571,0.46000163265306127,0.494858775510204,0.44538775510204076,0.47601456815816856
-0.0958,0.5011048644056999,0.022935340195620796,0.5148277551020408,0.6162873469387755,0.46040000000000003,0.49444081632653064,0.4452310204081632,0.4754422476586888
-0.0956,0.5008752308748682,0.02287386719431458,0.5150742857142857,0.6158024489795919,0.46128979591836733,0.49386122448979586,0.4453942857142857,0.4738293444328824
-0.0954,0.5009710239475603,0.022856005116377344,0.516610612244898,0.6149730612244898,0.4624244897959183,0.49515755102040815,0.4440277551020408,0.4726326742976067
-0.0952,0.5007743359737236,0.02276021386863655,0.5167004081632653,0.6141534693877551,0.4640424489795919,0.4949844897959184,0.44338122448979594,0.4713839750260146
-0.095,0.5009863806833867,0.022946835295065058,0.5180016326530612,0.6150595918367348,0.4640391836734693,0.49456,0.4429779591836735,0.47127991675338193
-0.0948,0.5008162203487014,0.02288439567906559,0.5176767346938776,0.6144881632653061,0.4624865306122448,0.4955281632653061,0.44369795918367344,0.47101977107180015
